"","X","id","DistrictId","Z","A","D","Y"
"175",175,"285700",4,0,0,0,500
"176",176,"310100",4,1,0,0,500
"177",177,"310100",4,1,0,1,0
"178",178,"290500",4,0,0,0,6000
"179",179,"277600",4,1,1,1,37000
"180",180,"286900",4,0,1,0,1500
"184",184,"286000",4,1,1,1,7000
"185",185,"263700",4,1,1,1,0
"188",188,"275000",4,0,0,1,1000
"190",190,"259800",4,0,0,0,4000
"191",191,"312300",4,1,0,1,1500
"192",192,"289600",4,0,0,1,10000
"193",193,"264400",4,1,1,1,9000
"194",194,"327600",4,0,1,1,25000
"195",195,"315900",4,1,1,1,7100
"196",196,"290600",4,0,0,1,8000
"198",198,"290000",4,0,0,1,6000
"199",199,"318200",4,1,0,1,0
"200",200,"312300",4,0,0,0,1500
"201",201,"275100",4,1,1,1,700
"202",202,"318200",4,1,0,1,0
"203",203,"291600",4,0,0,0,0
"204",204,"326200",4,0,0,0,3000
"205",205,"318200",4,0,0,1,0
"206",206,"4401310",4,1,0,1,1700
"207",207,"259100",4,0,1,0,200
"208",208,"4403310",4,0,1,0,2000
"209",209,"325900",4,1,1,0,1200
"210",210,"4403290",4,1,1,1,3000
"211",211,"278500",4,1,1,1,7000
"212",212,"316000",4,1,1,1,0
"213",213,"329800",4,0,0,0,0
"214",214,"259600",4,0,1,0,6
"215",215,"278500",4,1,1,1,4500
"216",216,"259800",4,0,0,0,4e+05
"217",217,"271600",4,1,1,1,0
"218",218,"4403490",4,0,0,1,4000
"219",219,"347500",4,0,0,0,14000
"220",220,"314000",4,1,1,1,0
"221",221,"327700",4,1,1,1,0
"222",222,"290200",4,0,0,1,0
"223",223,"306300",4,1,1,1,1800
"224",224,"289000",4,0,0,1,0
"225",225,"290700",4,1,1,0,0
"226",226,"301700",4,1,1,0,7000
"227",227,"311400",4,0,0,0,0
"228",228,"327600",4,0,1,0,5500
"230",230,"315900",4,1,1,0,1000
"231",231,"330200",4,1,1,1,800
"232",232,"265600",4,0,0,1,5000
"233",233,"309900",4,1,1,1,0
"234",234,"326100",4,1,1,1,7000
"235",235,"306300",4,1,1,1,2500
"236",236,"4403490",4,0,0,1,8000
"237",237,"291700",4,1,1,1,0
"238",238,"276200",4,0,0,1,3000
"239",239,"290200",4,1,0,0,1000
"240",240,"259100",4,1,1,1,1300
"241",241,"316000",4,1,1,1,0
"242",242,"327600",4,1,1,0,10000
"243",243,"318200",4,0,0,0,5000
"244",244,"311400",4,1,0,1,0
"245",245,"286400",4,1,1,0,5100
"246",246,"275600",4,0,0,0,10000
"247",247,"327600",4,1,1,1,1500
